#,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,day_diff,helpful_yes,total_vote,polarity_score,sentiment_label
1,A18K1ODH1I2MVB,B007WTAJTO,0mie,"[0, 0]",purchased device worked advertised never much phone memory since download lot stuff brainer,5,MOAR SPACE!!!,1382659200,25-10-2013,409,0,0,0,neg
2,A2FII3I2MBMUIA,B007WTAJTO,1K3,"[0, 0]",work expected higher capacity think made bit earlier version paint look clean,4,nothing to really say....,1356220800,23-12-2012,715,0,0,0.4019,pos
3,A3H99DFEG68SR,B007WTAJTO,1m2,"[0, 0]",think worked gb card went south one held pretty well since note update ive month zero issue since transferred note note card reliable,5,Great buy at this price!!! *** UPDATE,1384992000,21-11-2013,382,0,0,0.6486,pos
4,A375ZM4U047O79,B007WTAJTO,2&amp;1/2Men,"[0, 0]",bought retail packaging arrived legit envelope version asian like picture show arrived quickly bought retail packaging htc one lg optimus card working order probably best price youll get nice sd card,5,best deal around,1373673600,13-07-2013,513,0,0,0.8591,pos
5,A2IDCSC6NVONIZ,B007WTAJTO,2Cents!,"[0, 0]",mini storage doesnt anything else supposed purchased add additional storage microsoft surface pro tablet come gb supposed sandisk long standing reputation speaks,5,Not a lot to really be said,1367193600,29-04-2013,588,0,0,0,neg
6,A26YHXZD5UFPVQ,B007WTAJTO,2K1Toaster,"[0, 0]",phone never skip beat file transfer speedy corruption issue memory issue would expect sandisk brand great card precious file slightly cheaper piece crap lose everything spending extra couple buck trusted product go good qa,5,Works well,1382140800,19-10-2013,415,0,0,0.8678,pos
7,A3CW0ZLUO5X2B1,B007WTAJTO,"35-year Technology Consumer ""8-tracks to 802.11""","[0, 0]",hard believe affordable digital become gb device one quarter postage stamp would le generation picked portable music didnt want risk phone ipod work great sd card confidence,5,32 GB for less than two sawbucks...what's not to like?,1404950400,07-10-2014,62,0,0,0.8221,pos
8,A2CYJO155QP33S,NONE,4evryoung,"[1, 1]",work htc rezound running short space gb sandisk ordered came fast issue,5,Loads of room,1395619200,24-03-2014,259,1,1,0,neg
9,A2S7XG3ZC4VGOQ,NONE,53rdcard,"[0, 0]",galaxy super fast card totally happy happy still type fill required word though,5,works great,1381449600,10-11-2013,393,0,0,0.9167,pos
10,A1RTQROTWR5NCB,NONE,808TREX50,"[0, 0]",like sd card take music video downloads personal video multimedia image fast transfer rate class speed take game large file easily still enough space apps great video camera camcorder supplied adapter fit easily smartphones tablet sd card slot recommend gb sd card everyone,5,32GB MicroSD Card.,1368230400,05-11-2013,398,0,0,0.9371,pos
